Email,OrderDate,OrderID,CustomerName,GrandTotal
awhite@nelson.com,02-07-2020,19e109db-d5a4-4651-8a18-c2567c254787,Sarah Norris,97.1
eric05@sullivan-cummings.com,14-11-2023,9a917d51-b2b0-4e48-a9b8-b3af92fc14f5,Kevin Gray,361.67
ajohnston@reed.com,05-04-2020,f4597de5-6799-48a1-b61b-9345428a53b0,Mark Jenkins,101.45
marshalljames@hotmail.com,18-05-2023,967ccc75-74b0-4c7d-b052-5ee31946355f,Trevor Rivers,716.65
hpotter@may.net,08-01-2024,499b9134-4944-4ce5-a946-85ec1d87235a,Michael Thompson,531.52
grodriguez@moore.com,02-04-2020,2f38f043-9b40-4cfa-bfa7-9aebf660aa05,Mr. Martin Thomas,150.39
carmenlambert@gmail.com,14-06-2022,b9898e86-5cd5-4c88-930a-404cc4e3541a,Patrick Delacruz,689.96
stephanie61@love-williams.com,03-04-2021,5ceeca7e-ae46-4415-bf7a-cabc5c93964d,Mrs. Paige Hughes,773.26
elizabeth82@gmail.com,22-02-2022,5c531fd6-e2f0-41a5-87e8-eeaf025b3cab,Jacob Turner,976.48
brandon90@bradley.com,28-08-2023,2d2cbb5e-a8a0-423d-b723-f377f2d575d6,Monica Werner,608.21
mezanathan@lyons-simpson.biz,19-09-2020,4a80bd91-e845-4049-89eb-ab0a0d611cd4,Emily Monroe,977.03
millermichele@wells.com,12-03-2022,336805ea-8f30-4453-a922-eacf413f437f,Brian Watson,40.5
anthonyherrera@gmail.com,19-06-2020,e4a056fc-13ea-4d18-a0b1-532fa839a7b0,Jacob Neal,938.39
nicolebooth@mccarthy-robertson.com,21-08-2023,1f524941-c7b5-4d1f-84bf-cf739bb2f3b2,Barbara Nelson,459.06
christianflynn@wiggins.net,16-03-2023,c349df0c-86e2-4add-9fc3-7c1120770ae6,Mike Rodriguez,643.89
lisagaines@hotmail.com,16-04-2024,44e5f194-63da-4c0d-95d6-5e4f0f9b04a4,Angela Chapman,152.64
chelsea17@tran.com,08-03-2021,982923db-6b40-4d97-ac58-6d9806db61b4,Mary Wright,625.57
hatfieldadam@hotmail.com,04-01-2023,d8fac7c8-49f8-44e8-89d3-1f3ad82bb293,Nancy Reese,305.67
martineztiffany@dudley.net,21-10-2020,21715c17-1183-47dd-a987-f6592c54a4b3,Tyler Foster,434.2
onunez@yahoo.com,30-07-2023,7cccf91d-3071-4200-844b-4c718f82f672,Geoffrey Noble,871.35
donna66@yahoo.com,15-05-2020,364799cb-29b8-4df3-a191-7c6e6ca6f3bf,Laura Price,902.94
cynthiajones@miller.com,23-11-2021,22780326-d6d2-42a0-8025-cf2058fc8423,Kimberly Hayes,36.45
wendystokes@hall.com,23-04-2021,5291776c-1e34-44f0-a47c-6dcfcd5e4c2d,Thomas Fuentes,121.41
tina49@johnson.com,09-01-2023,5c7733f5-eb2b-47b0-8d60-8bb0dca10a59,Anthony Campos,804.55
emahoney@yahoo.com,04-08-2021,25edc186-0c98-4a08-8dfd-cce67778fd12,Elizabeth Mclaughlin,997.69
hannahpotter@gmail.com,23-12-2023,87a63340-b6b3-426a-bf16-c349b7438689,Christina Schmidt,775.73
ashley94@yahoo.com,15-10-2022,f2363e11-a906-4976-9192-e7bead54bad0,Alison Woods,439.67
hunter02@hotmail.com,15-07-2022,4ea20752-7fff-42dc-b326-edd9fc866458,Nicole Singh,276.12
karenodom@russell.com,10-01-2022,27b55a0b-a101-4ab0-8e87-994266875a8a,Dr. Vincent Lopez,142.96
thompsondale@yahoo.com,06-06-2024,de25b5a1-a1f1-4beb-90ef-089bc769ae77,Samuel Sloan,52.09
barnesmatthew@gmail.com,09-01-2024,f4ccdfd2-4924-4054-91df-c199d2e7621a,Kyle Ortiz,469.71
ejones@hotmail.com,30-11-2022,7bd06230-31ed-4df1-b5a1-026bf427f039,Michael Ryan,178.59
caleb54@miller.com,27-12-2020,10b4c3b1-891b-4816-afbe-c99653395655,Erin Tucker,324.08
mitchellcindy@hotmail.com,10-08-2023,f23c184f-9d35-4e67-b85b-29376dbc789e,Grace Figueroa,40.92
rsimpson@gmail.com,29-09-2023,4e1ac812-bfdf-4645-bdc8-af46ffed6caf,Kathleen Davidson,822.5
huangbethany@cruz.com,19-12-2020,506f8e19-a858-4d17-9bb0-6ca292283f6d,Terry Petersen,460.02
sylvia99@norton-mendez.biz,07-03-2021,974f5458-83f4-4dea-8278-b57d983d07cd,Justin Skinner,916.09
tammymorgan@yahoo.com,28-08-2020,80a11800-8bdf-4cea-a7b4-baceee85804e,James Ellison,295.53
ngonzales@gmail.com,12-08-2022,ac318070-b619-4755-b0ff-dfb55b41ea38,James Rivera,22.84
jacqueline03@pace.net,30-07-2023,3e735e12-0b55-45e5-83de-0348005325d3,Tara Campos,567.55
amanda50@wright.com,08-04-2020,0ad7cbc7-93d3-4a4d-8f42-1a1b4c2c6607,John Hughes,313.14
angelica44@davis.com,18-09-2021,6092c042-0e4e-4e92-a0da-538bd5f8ab43,Darius Adams,887.19
dustin25@parsons.com,01-04-2023,ec23b686-9839-4ae1-888d-26de25bd8dda,Phyllis Cox,297.86
cbrown@hotmail.com,21-04-2022,2d0a733b-1485-4363-bf4f-c9d76141621d,Marco Alexander,286.98
corey25@yahoo.com,01-11-2021,79ea0c7b-a237-44c1-8605-0ce7ab441b62,Chelsea Martinez,627.31
rebecca01@yahoo.com,04-10-2021,d97602a5-80f6-4dac-a5f6-7ce539e2f00d,Jimmy Robinson,575.67
glawson@yahoo.com,15-02-2022,4a56a6e0-548d-4b6a-ac94-26aedcbdf3a8,Anthony Bartlett,661.08
allison55@collins.com,23-07-2022,d164976d-e562-45b5-857c-4e55087f11b1,Margaret Wells,503.2
ralph83@gmail.com,30-04-2024,8e33cf99-2833-4b51-b303-f952b41cc98e,Jose Robinson,443.43
dylan08@cole-anderson.com,03-04-2024,80e3a285-2fcc-43a6-9c8f-3f1a06c4a5f1,Sally Robinson,527.71
bodom@hale.org,14-08-2020,ab9a7e61-903a-4952-b97f-634c48f01939,Donna Aguilar,184.31
robert75@yahoo.com,28-04-2021,539f6ccb-51d8-4065-93ca-aea8a88d7d6a,Ralph Hicks,725.4
adurham@yahoo.com,08-03-2021,61a3601e-1038-44f2-b2bf-062ec7b95a61,Derek Caldwell,177.44
kathryn28@stewart-miller.com,31-07-2022,7b5469db-2a92-4619-b8f3-c3e5bf24c0f2,Antonio Hoffman,350.51
mitchelljohn@gmail.com,21-02-2021,df344169-009f-406b-98a7-f630f66866da,Amy Brown MD,252.66
tiffany83@hotmail.com,03-06-2022,4d178037-76c7-47ec-99ce-2b46ad651779,Taylor Wheeler,25.29
vlawrence@hotmail.com,09-07-2020,eafdde09-f4e4-48af-8852-f52738215db4,Jeffery Robinson,728.35
robert23@gmail.com,05-12-2020,925ea405-7280-4681-8adf-c33aae01717c,Kayla Pitts,630.25
jamesdavis@hotmail.com,12-08-2020,5b7bfe64-1cba-4f02-b96f-55639f70388b,Ronnie Nguyen,900.82
whurley@yahoo.com,28-04-2022,5e1e109e-29e3-4c95-8d66-d624d08163f3,Travis Welch,971.08
stokesapril@young-miller.com,31-05-2024,4b844d85-d43e-4b3b-bd8d-e18e437dd8f7,Mr. Ricardo Rios II,276.55
mendezjoseph@yahoo.com,13-07-2023,bbc91749-da4b-4b74-9be7-a1249ef2b3d8,Cole Morrison,309.79
hlarson@wright.info,11-11-2022,f973ca5f-ff71-4b05-a867-9629a10c83cc,Terri Lee,373.24
angela24@maxwell-thomas.com,16-09-2022,1d283e84-3e42-4eb3-adc9-fb630f4f660a,Justin Young,614.04
stacey17@yahoo.com,04-06-2023,db2f03dd-1d98-4d3f-8858-fed955ee5c01,Christopher Lynch,522.8
joshua85@gmail.com,12-05-2024,b1b0be2d-e032-4ddb-ac14-77c8427f3103,Kristopher Miller,344.07
